单词类别  单词值
整型常量  8
右小括号  )
左大括号  {
关键字  while
左小括号  (
标识符  i
小于等于号  <=
标识符  j
或  ||
标识符  j
不等于号  !=
标识符  i
加号  +
整型常量  3
右小括号  )
标识符  j
赋值号  =
标识符  j
加号  +
左小括号  (
整型常量  3
减号  -
整型常量  6
右小括号  )
乘号  *
整型常量  7
分号  ;
右大括号  }
关键字  return
标识符  j
分号  ;
右大括号  }
关键字  float
标识符  x
逗号  ,
标识符  y
分号  ;
外部变量定义：
    类型：int
    变量名：
      ID：aaa
      ID：b
      ID：c
      ID：m
外部变量定义：
    类型：long
    变量名：
      ID：p
      ID：q
外部变量定义：
    类型：float
    变量名：
      ID：d
      ID：e
外部变量定义：
    类型：double
    变量名：
      ID：lll
函数定义：
    类型：int
    函数名：fun
    函数形参：
      类型：int , 参数名：x1
      类型：float , 参数名：x2
    复合语句：
函数定义：
    类型：int
    函数名：pro
    函数形参：
      类型：int , 参数名：y1
      类型：int , 参数名：y2
    复合语句：
函数定义：
    类型：int
    函数名：fun
    函数形参：
      类型：int , 参数名：x1
      类型：float , 参数名：x2
    复合语句：
      复合语句的变量定义：
        LOCAL VAR_NAME：
          类型：char
          VAR_NAME：
            ID：xxx
          类型：char
          VAR_NAME：
            ID：a1
            ID：a2
            ID：a3
            ID：a4
      复合语句的语句部分：
            运算符：=
              ID：aaa
              ID：123
            运算符：=
              ID：b
              ID：0123
            运算符：=
              ID：c
              ID：0X156
            运算符：=
              ID：m
              ID：10
            运算符：=
              ID：d
              ID：123f
            运算符：=
              ID：e
              ID：13.23
            运算符：=
              ID：a1
              ID：'a'
            运算符：=
              ID：a2
              ID：'A'
            运算符：=
              ID：a3
              ID：'d'
            运算符：=
              ID：xxx
              ID："dsad"
            运算符：=
              ID：p
              ID：1222L
            运算符：=
              ID：q
              ID：12l
        条件语句(IF_THEN_ELSE)：
          条件：
            运算符：&&
            运算符：>=
              ID：x1
              ID：x2
            运算符：!=
              ID：x1
              ID：0
          IF子句：
    复合语句：
      复合语句的变量定义：
        LOCAL VAR_NAME：
      复合语句的语句部分：
            运算符：=
              ID：x1
            运算符：||
            运算符：==
              ID：a3
              ID：4
            运算符：&&
            运算符：&&
            运算符：&&
            运算符：&&
            运算符：&&
            运算符：!=
              ID：a2
              ID：6
            运算符：>
              ID：e
              ID：1
            运算符：<
              ID：e
              ID：5
            运算符：>=
              ID：d
              ID：1
            运算符：<=
              ID：d
              ID：9
            运算符：+
            运算符：+
              ID：aaa
            运算符：/
            运算符：*
            运算符：-
              ID：10
              ID：b
              ID：5
            运算符：%
              ID：d
              ID：10
              ID：a1
            运算符：=
              ID：m
              ID：x1
          ELSE子句：
            运算符：=
              ID：m
              ID：x2
        条件语句(IF_THEN)：
          条件：
            运算符：||
            运算符：||
            运算符：&&
            运算符：>
              ID：x1
              ID：3
            运算符：<
              ID：x1
              ID：8
            运算符：==
            运算符：+
              ID：x1
              ID：x2
              ID：10
            运算符：!=
              ID：x1
              ID：x2
          IF子句：
            运算符：=
              ID：m
            运算符：+
              ID：x1
              ID：x2
        返回语句：
              ID：m
函数定义：
    类型：int
    函数名：pro
    函数形参：
      类型：int , 参数名：y1
      类型：int , 参数名：y2
    复合语句：
      复合语句的变量定义：
        LOCAL VAR_NAME：
          类型：int
          VAR_NAME：
            ID：i
            ID：j
            ID：k
      复合语句的语句部分：
            运算符：=
              ID：k
              ID：3
        WHILE语句：
          条件：
              ID：1
          WHILE子句：
    复合语句：
      复合语句的变量定义：
        LOCAL VAR_NAME：
      复合语句的语句部分：
            运算符：=
              ID：y1
              ID：9
        FOR语句：
          赋初值：
            运算符：=
              ID：i
              ID：0
          条件：
            运算符：<
              ID：i
              ID：y1
          增值：
            运算符：=
              ID：i
            运算符：+
              ID：i
              ID：1
          FOR子句：
        FOR语句：
          赋初值：
            运算符：=
              ID：j
              ID：i
          条件：
            运算符：<=
              ID：j
              ID：y2
          增值：
            运算符：=
              ID：j
            运算符：+
              ID：j
              ID：2
          FOR子句：
    复合语句：
      复合语句的变量定义：
        LOCAL VAR_NAME：
      复合语句的语句部分：
        条件语句(IF_THEN_ELSE)：
          条件：
            运算符：==
              ID：j
            运算符：+
              ID：i
              ID：k
          IF子句：
        BREAK语句：
          ELSE子句：
        条件语句(IF_THEN)：
          条件：
            运算符：==
              ID：j
            运算符：-
            运算符：+
              ID：i
              ID：k
              ID：1
          IF子句：
        CONTINUE语句：
        条件语句(IF_THEN)：
          条件：
            运算符：<=
            运算符：+
              ID：aaa
              ID：i
              ID：j
          IF子句：
    复合语句：
      复合语句的变量定义：
        LOCAL VAR_NAME：
      复合语句的语句部分：
        条件语句(IF_THEN_ELSE)：
          条件：
            运算符：==
              ID：y1
              ID：y2
          IF子句：
    复合语句：
      复合语句的变量定义：
        LOCAL VAR_NAME：
      复合语句的语句部分：
            运算符：=
              ID：j
            运算符：+
              ID：j
              ID：1
            运算符：=
              ID：k
            运算符：-
            运算符：*
              ID：j
              ID：k
            运算符：/
              ID：5
              ID：k
          ELSE子句：
            运算符：=
              ID：j
              ID：1
        WHILE语句：
          条件：
            运算符：&&
            运算符：==
            运算符：+
              ID：i
              ID：j
              ID：1
            运算符：==
              ID：j
            运算符：*
            运算符：+
              ID：i
              ID：7
              ID：8
          WHILE子句：
    复合语句：
      复合语句的变量定义：
        LOCAL VAR_NAME：
      复合语句的语句部分：
        WHILE语句：
          条件：
            运算符：||
            运算符：<=
              ID：i
              ID：j
            运算符：!=
              ID：j
            运算符：+
              ID：i
              ID：3
          WHILE子句：
            运算符：=
              ID：j
            运算符：+
              ID：j
            运算符：*
            运算符：-
              ID：3
              ID：6
              ID：7
        返回语句：
              ID：j
外部变量定义：
    类型：float
    变量名：
      ID：x
      ID：y
遍历成功！

